date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:00	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65df0cc8-6a7b629ea004afb9;gz%22	https://boostmania.cc/robots.txt		(from )
21:56:00	12050/12050	---M-Z	200	added ('OK')	text/html	etag:%222f12-661a2ab6-60dd7a5fc23d8796;gz%22	https://boostmania.cc/	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/index.html	(from )
21:56:00	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2019%20Aug%202024%2018:56:01%20GMT	https://i.imgur.com/15sIYSD.gif	C:/Users/SaifMElabd/Desktop/boostmania/i.imgur.com/15sIYSD.0.delayed	(from https://boostmania.cc/)
21:56:01	32780/32780	---M-Z	200	added ('OK')	text/css	etag:%22800c-65ebff2a-65bfb3cca012239c;gz%22	https://boostmania.cc/style.css	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/style.css	(from https://boostmania.cc/)
21:56:02	3265/3265	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:02%20GMT	https://boostmania.cc/img/boostlogo.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/boostlogo.png	(from https://boostmania.cc/)
21:56:02	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-6b4a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/SaifMElabd/Desktop/boostmania/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	(from https://boostmania.cc/)
21:56:02	15901/15901	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266acf26b-3e1d%22	https://cdn.sellix.io/static/js/embed.js	C:/Users/SaifMElabd/Desktop/boostmania/cdn.sellix.io/static/js/embed.js	(from https://boostmania.cc/)
21:56:02	294/294	---MCZ	200	added ('OK')	text/css	etag:W/%225f07213c-1af%22	https://cdn.sellix.io/static/css/embed.css	C:/Users/SaifMElabd/Desktop/boostmania/cdn.sellix.io/static/css/embed.css	(from https://boostmania.cc/)
21:56:03	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/SaifMElabd/Desktop/boostmania/unpkg.com/aos@2.3.1/dist/aos.css	(from https://boostmania.cc/)
21:56:03	12050/12050	---M-Z	200	added ('OK')	text/html	etag:%222f12-661a2ab6-60dd7a5fc23d8796;gz%22	https://boostmania.cc/index.html	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/index-2.html	(from https://boostmania.cc/)
